"","player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","espn_link","espn_number","espn_id","first_season","last_season"
"1045","Fab Melo","Fab","Melo","fab","melo",NA,"6608/fab-melo",6608,"fab-melo",2013,2013
"1046","Jarvis Varnado","Jarvis","Varnado","jarvis","varnado",NA,"4266/jarvis-varnado",4266,"jarvis-varnado",2013,2014
"1047","Kevin Murphy","Kevin","Murphy","kevin","murphy",NA,"6613/kevin-murphy",6613,"kevin-murphy",2013,2013
"1048","Kris Joseph","Kris","Joseph","kris","joseph",NA,"6599/kris-joseph",6599,"kris-joseph",2013,2013
"1049","Luke Zeller","Luke","Zeller","luke","zeller",NA,"6502/luke-zeller",6502,"luke-zeller",2013,2013
"1050","Miles Plumlee","Miles","Plumlee","miles","plumlee",NA,"6616/miles-plumlee",6616,"miles-plumlee",2013,2019
"1051","Quincy Miller","Quincy","Miller","quincy","miller",NA,"6611/quincy-miller",6611,"quincy-miller",2013,2015
"1052","Tim Ohlbrecht","Tim","Ohlbrecht","tim","ohlbrecht",NA,"2308999/tim-ohlbrecht",2308999,"tim-ohlbrecht",2013,2013
"1053","Michael Carter-Williams","Michael","Carter-Williams","michael","carter-williams",NA,"2596108/michael-carter-williams",2596108,"michael-carter-williams",2014,2019
"1054","Trey Burke","Trey","Burke","trey","burke",NA,"2579260/trey-burke",2579260,"trey-burke",2014,2019
"1055","Victor Oladipo","Victor","Oladipo","victor","oladipo",NA,"2527963/victor-oladipo",2527963,"victor-oladipo",2014,2019
"1056","Tim Hardaway Jr.","Tim","Hardaway Jr.","tim","hardaway","jr","2528210/tim-hardaway-jr.",2528210,"tim-hardaway-jr.",2014,2019
"1057","Ben McLemore","Ben","McLemore","ben","mclemore",NA,"2578213/ben-mclemore",2578213,"ben-mclemore",2014,2019
"1058","Kelly Olynyk","Kelly","Olynyk","kelly","olynyk",NA,"2489663/kelly-olynyk",2489663,"kelly-olynyk",2014,2019
"1059","Troy Daniels","Troy","Daniels","troy","daniels",NA,"2489530/troy-daniels",2489530,"troy-daniels",2014,2019
"1060","Giannis Antetokounmpo","Giannis","Antetokounmpo","giannis","antetokounmpo",NA,"3032977/giannis-antetokounmpo",3032977,"giannis-antetokounmpo",2014,2019
"1061","Mason Plumlee","Mason","Plumlee","mason","plumlee",NA,"2488653/mason-plumlee",2488653,"mason-plumlee",2014,2019
