player_name,bbref_link,bbref_id,sportsref_id,first_year,last_year
Daniel Hamilton,h/hamilda02,hamilda02,daniel-hamilton-1,2018,2019
Daniel Ochefu,o/ochefda01,ochefda01,daniel-ochefu-1,2017,2017
Daniel Orton,o/ortonda01,ortonda01,daniel-orton-1,2012,2014
Daniel Santiago,s/santida01,santida01,daniel-santiago-1,2005,2005
Daniel Theis,t/theisda01,theisda01,,2018,2019
Danilo Gallinari,g/gallida01,gallida01,,2009,2019
Danny Fortson,f/fortsda01,fortsda01,danny-fortson-1,2005,2007
Danny Granger,g/grangda01,grangda01,danny-granger-1,2006,2015
Danny Green,g/greenda02,greenda02,danny-green-1,2010,2019
Dante Cunningham,c/cunnida01,cunnida01,dante-cunningham-1,2010,2019
Dante Exum,e/exumda01,exumda01,,2015,2019
Danuel House,h/houseda01,houseda01,danuel-house-1,2017,2019
Darington Hobson,h/hobsoda01,hobsoda01,darington-hobson-1,2012,2012
Dario Saric,s/saricda01,saricda01,,2017,2019
Darius Johnson-Odom,j/johnsda03,johnsda03,darius-johnson-odom-1,2013,2014
Darius Miles,m/milesda01,milesda01,,2005,2009
Darius Miller,m/milleda01,milleda01,darius-miller-1,2013,2019
Darius Morris,m/morrida01,morrida01,darius-morris-1,2012,2015
Darius Songaila,s/songada01,songada01,darius-songaila-1,2005,2011
Darius Washington,w/washida01,washida01,darius-washington-1,2008,2008
Darko Milicic,m/milicda01,milicda01,,2005,2013
Darnell Jackson,j/jacksda01,jacksda01,darnell-jackson-1,2009,2011
Darrell Armstrong,a/armstda01,armstda01,,2005,2008
Darrell Arthur,a/arthuda01,arthuda01,darrell-arthur-1,2009,2018
Darren Collison,c/collida01,collida01,darren-collison-1,2010,2019
Darrick Martin,m/martida01,martida01,darrick-martin-1,2005,2008
Darrun Hilliard,h/hillida01,hillida01,darrun-hilliard-1,2016,2018
Darryl Watkins,w/watkida01,watkida01,darryl-watkins-1,2008,2012
Darvin Ham,h/hamda01,hamda01,darvin-ham-1,2005,2005
Daryl Macon,m/maconda01,maconda01,daryl-macon-1,2019,2019
David Andersen,a/anderda03,anderda03,,2010,2011
David Harrison,h/harrida01,harrida01,david-harrison-1,2005,2008
David Lee,l/leeda02,leeda02,david-lee-1,2006,2017
David Noel,n/noelda01,noelda01,david-noel-1,2007,2007
David Nwaba,n/nwabada01,nwabada01,david-nwaba-1,2017,2019
David Stockton,s/stockda01,stockda01,david-stockton-1,2015,2018
David Wear,w/wearda01,wearda01,david-wear-1,2015,2015
David Wesley,w/wesleda01,wesleda01,david-wesley-1,2005,2007
David West,w/westda01,westda01,david-west-1,2005,2018
Davis Bertans,b/bertada01,bertada01,,2017,2019
Davon Reed,r/reedda01,reedda01,davon-reed-1,2018,2019
De'Aaron Fox,f/foxde01,foxde01,deaaron-fox-1,2018,2019
De'Anthony Melton,m/meltode01,meltode01,deanthony-melton-1,2019,2019
Deandre Ayton,a/aytonde01,aytonde01,deandre-ayton-1,2019,2019
DeAndre Jordan,j/jordade01,jordade01,deandre-jordan-1,2009,2019
DeAndre Liggins,l/liggide01,liggide01,deandre-liggins-1,2012,2018
DeAndre' Bembry,b/bembrde01,bembrde01,deandre-bembry-1,2017,2019
Dee Brown,b/brownde03,brownde03,dee-brown-2,2007,2009
Dejounte Murray,m/murrade01,murrade01,dejounte-murray-1,2017,2018
DeJuan Blair,b/blairde01,blairde01,dejuan-blair-1,2010,2016
Delon Wright,w/wrighde01,wrighde01,delon-wright-1,2016,2019
Delonte West,w/westde01,westde01,delonte-west-1,2005,2012
DeMar DeRozan,d/derozde01,derozde01,demar-derozan-1,2010,2019
DeMarcus Cousins,c/couside01,couside01,demarcus-cousins-1,2011,2019
DeMarcus Nelson,n/nelsode01,nelsode01,demarcus-nelson-1,2009,2009
DeMarre Carroll,c/carrode01,carrode01,demarre-carroll-1,2010,2019
Demetris Nichols,n/nichode01,nichode01,demetris-nichols-1,2008,2009
